ID|Fictional inputs for the illustrated excerpt|Illustrative output excerpt
LP-011|Grade 5 reading; 25 minutes; original fictional source: The garden stayed green during the dry week. Volunteers watered it each morning. A nearby untended patch turned brown.|Preview untended. First read: summarize the contrast. Second read: identify the detail supporting the inference that watering helped. Key: volunteers watered daily while the untended patch browned. Ask what else might explain the difference; soil or shade are possibilities, not supplied facts. Students distinguish an observation from an inference. Do not claim this short passage proves watering was the only cause.
LP-012|Grade 6 science; 40 minutes; approved cool and lukewarm water only, cups, sugar, spoons and timer; equal volumes and equal sugar amounts; no tasting.|Question: Does water temperature change dissolving time? Change temperature; measure seconds until visible sugar disappears; keep volume, sugar amount and stirring pattern constant. Repeat each condition three times if the schedule allows. Table columns: condition, trial, temperature if measured, seconds. Predict a pattern, but leave results blank. Discuss stirring inconsistency and endpoint judgment as limitations. Teacher verifies safe temperatures and spill handling before use.
WA-001|Grade 6 ratios; four-item excerpt; mixture ratio 2 yellow:3 blue; paper; black-and-white layout.|Model: 2:3 scaled by 2 becomes 4:6. Items: (1) 4 yellow needs __ blue; (2) __ yellow needs 9 blue; (3) Is 6:8 equivalent? Explain; (4) Draw a ratio table for 1, 2 and 3 batches. Key: 6; 6; no because 6:9 is equivalent; pairs 2:3, 4:6, 6:9. Leave two ruled lines after each explanation. This is a four-item excerpt, not a claimed twelve-item complete worksheet.
WA-002|Grade 7 ecosystems; 32 learners; 48 minutes; four groups of eight with paired work; simplified chain algae-snails-perch-herons.|Stations: draw feeding arrows; read a short supplied chain description quietly; discuss loss of snails; write a conditional prediction. Each produces one individual sentence or diagram. Timing: launch 4; four 9-minute stations; three 2-minute transitions; exit 2 =48. Key: perch directly lose snail food; effects on herons are indirect and conditional. Groups of eight work as four pairs; verify room capacity before using this rotation.
WA-003|Grade 9 ELA; groups of four; 30 minutes; fictional evidence A: one anonymous opinion, B: a described survey with unknown sample size.|Rank which source could better support a claim and state missing information. Roles: claim-reader, evidence-checker, limitation-finder, synthesis-writer; all prepare individually first. Shared product: claim-evidence-limit table. Individual check: explain why an unknown sample size limits confidence. Do not equate survey format with automatic reliability. Timing: prepare 5, discuss 12, synthesize 8, individual response 5.
WA-004|Grade 8 equations; 25 minutes; mini-whiteboards; four-question demonstration; teams of four; no speed scoring.|Every learner answers silently before discussion. Cards: x+3=8; 2x=14; 3(x-1)=12; x+2=x+5. Key: 5; 7; 5; no solution. Award one point for a correct answer and one for a defensible explanation or corrected explanation. No first-to-answer bonus. Teacher records individual initial responses separately. Timing: rules 3, four 4-minute rounds, reflection 6 =25.
WA-005|Grade 5 equivalent fractions; one model, two faded items and two independent items; equal wholes assumed.|Model: 1/2=2/4 because each half becomes two fourths. Faded: 2/3=__/6, since each third is split into __ parts; then 3/4=__/8 with no explanation starter. Independent: 2/5=__/10; explain whether 3/6=1/2. Key: 4, 2; 6; 4; yes, both represent half of an equal whole. Support fades from explanation to numeric cue to independent reasoning.
WA-006|Grade 5 fractions; misconception: larger denominator always means larger fraction; equal wholes.|Fictional wrong claim: 1/8 is greater than 1/4 because 8 is greater than 4. Draw equal bars in fourths and eighths. Ask which unit piece is larger and why. Key: 1/4 is greater; dividing the same whole into more equal pieces makes each smaller. Fresh check: compare 1/3 and 1/6. Key: 1/3 is greater. Do not generalize the unit-fraction rule to unequal numerators without further reasoning.
WA-007|Grade 7 mathematics; previously taught scaling and additive change; four mixed questions; require strategy choice.|Questions: triple 8; increase 8 by 3; recipe 2:5 scaled to 6 first units; perimeter of square side 8. Keys: 24; 11; 15; 32. For each, learners name multiplication, addition, ratio scaling or perimeter reasoning before calculating. Teacher key explains why the surface presence of 3 or 8 does not determine the operation. Avoid headings that announce the required strategy.
WA-008|Grade 6 mathematics; prior learning multiplication, fractions and perimeter; five-minute retrieval.|Without notes: 7x8; simplify 4/8; perimeter of rectangle 3 by 5 units. After an initial attempt, show key: 56; 1/2; 16 units. Learners correct in a different mark and explain one correction. Teacher records the first response for planning only. A missed fact today is evidence for further practice, not proof of poor effort or permanent inability.
AS-001|Grade 8 equations; four-item assessment excerpt; eight points; ten minutes.|Items: x-9=-4 (1 point); 4(y-3)=20 (2); explain 6x+4=2(3x+2) (3); check x=3 in 2x+1=7 (2). Key: x=5; y=8; identity true for every x; 7=7. Partial credit: credit a valid transformation separately from final arithmetic where appropriate. Coverage: solve, distribute, explain identity, verify. This is a compact excerpt; it does not claim psychometric validation.
AS-002|Grade 5 science; dissolved sugar in a sealed container; one hinge-item excerpt; visible disappearance misconception.|Question: After sugar dissolves in a sealed container, the total mass is A lower, B the same, C higher. Key: B, assuming nothing enters or leaves. A may suggest that invisibility means disappearance; ask for reasoning before assigning that interpretation. Follow-up: Where is the sugar now? Expected: dispersed in the water, not destroyed. Teacher must distinguish evidence from guesses based on a single selected option.
AS-003|Grade 7 ecosystem model; four criteria; four performance levels; 16 points total.|Criteria: feeding links, direction of arrows, causal explanation, use of supplied evidence. For causal explanation: 4 links direct and indirect effects with conditions; 3 explains one valid chain with a minor gap; 2 identifies an effect without linking mechanism; 1 supplies no defensible causal link. Apply equivalent observable descriptors to other criteria. Maximum 4 per criterion, total 16. Avoid deducting the same reversed arrow again unless it independently changes the explanation.
AS-004|Grade 5 fraction comparison; compare 3/4 and 5/6; fictional responses A: 5/6 because twelfths are 10 and 9; B: 3/4 because fourths are larger; C: blank.|A: correct comparison with common-whole evidence; verify that 3/4=9/12 and 5/6=10/12. B: possible confusion between unit-piece size and total fraction; ask for a diagram before assigning a stable misconception. C: insufficient evidence, not a misconception code. Follow-up task: compare 2/3 and 3/4 using equal strips. Key: 3/4 is larger because 9/12 exceeds 8/12.
AS-005|Grade 8 mathematics; three-item quiz; one recall, one application and one reasoning item; six points.|Recall: state the inverse of adding 7 (1 point). Application: solve 2x+7=15 (2). Reasoning: explain why adding the same number to both sides preserves equality (3). Keys: subtracting 7; x=4; equal quantities remain equal after the same addition. The explanation item requires reasoning, not just more words. Total six points; teacher checks local scoring expectations.
AS-006|Grade 8 distribution; diagnose the first transformation of 3(x+2)=15; four choices.|Options: A 3x+2=15; B 3x+6=15; C x+6=15; D 3x+6=45. Correct: B. A omits multiplying the constant; C omits multiplying x; D changes the right side without a corresponding equivalent operation. Solve after selecting: 3x=9, x=3. A choice suggests a possible error pattern; an explanation is needed to confirm it.
AS-007|Grade 7 ratio reasoning; four-point constructed response; recipe ratio 2:3; scale first quantity to 8.|Task: find the second quantity and justify. Key: scale factor 4, so second quantity 12. Award one point for recognizing multiplicative scaling, one for factor 4, one for 12 and one for a valid explanation or equivalent table. Accept unit-rate reasoning. Example partial response 8:9 from adding 6 to both parts does not preserve ratio and receives no scaling points.
AS-008|Grade 8 pre-assessment; prerequisite integer arithmetic and target linear equations; four items.|Prerequisites: -3+8=5; 4x(-2)=-8. Targets: x+5=12 gives 7; 2(x-1)=10 gives 6. Report prerequisite evidence separately from equation evidence. If arithmetic errors obscure equation reasoning, collect a short explanation before concluding the target concept is absent. Do not convert this four-item snapshot into a fixed learner track.
DF-001|Grade 7 science; explain a supplied photosynthesis diagram; barrier is organizing an explanation, not a diagnosed condition; word bank available.|Keep the goal: explain matter inputs and products with light as energy. Support: colour-independent arrow labels and a frame, Water and carbon dioxide are used to... . Learner supplies the explanation. Fade the frame on the next diagram when the learner can explain independently. Keep any required accommodation. Common check: identify one matter input and explain what light contributes.
DF-002|Grade 5 fractions; compare 3/4 and 5/6 using distance from one; strips, number lines or symbols available.|Route Strips: show equal wholes with missing 1/4 and 1/6. Route Line: mark both values on equal 0-1 lines. Route Symbols: compare the missing unit fractions. All submit the same explanation: 5/6 is closer to one because 1/6 is smaller than 1/4. Optional stretch: order 2/3, 7/8, 11/12. Key: ascending as written. Do not publicly label routes by ability.
DF-003|Grade 6 science; explain melting; barrier is unfamiliar subject vocabulary; no language proficiency assumed.|Vocabulary: solid, liquid, heat, melt, freeze; teacher supplies a verified diagram. Rehearsal: describe the change using words, arrows or an approved home-language resource. Frame: When ice gains heat, it changes from __ to __. Key: solid to liquid. Score the phase-change idea separately from sentence fluency where appropriate. A competent speaker checks any translation; do not infer language skills from a name.
DF-004|Grade 5 reading access; original fictional text: The seedlings wilted after several dry days, although the shaded pots lost less moisture; goal is science interpretation.|Companion: The young plants drooped after several days without rain. The pots in shade lost less water. Preserve although by explaining the contrast. Glossary: wilted = drooped; moisture = water present. Keep the original next to the companion. Do not change the claim into all shaded plants survived; that result was not supplied. If reading complexity is the assessed construct, teacher review is required before adapting.
DF-005|Grade 6 mathematics; fictional observation: learner completes arithmetic but loses place in a six-step written method; numbered checklist available.|Hypothesis: task organization may be an access barrier; no diagnosis is implied. Trial support: number each step and let the learner tick completed lines. Measure whether the learner resumes accurately after a pause. Keep the same arithmetic and reasoning. After two successful attempts, try a shorter checklist and compare independence. Two attempts are an illustrative trial design, not a validated intervention threshold.
DF-006|Grade 7 argument writing; target: connect claim, evidence and reasoning; blank organizer requested.|Organizer fields: My claim; Exact supplied evidence; Why this evidence matters; A limitation or alternative; Revised claim. Leave the claim and reasoning blank. Teacher model fills a separate fictional example, not the learner's assessed organizer. Fade the Why this matters question once the learner can independently link evidence to a claim. The organizer supports structure without providing the conclusion.
DF-007|Grade 6 science; explain a temperature observation; three language-support levels; content evidence supplied by teacher.|Light: Explain the pattern and its limitation. Medium: As __ changed, __ changed; this may suggest __. Substantial: The measured temperature was __ before and __ after. One possible explanation is __. We cannot yet conclude __. Every route requires the same evidence-based inference. Do not fill measurement slots with invented numbers. Learners may move among supports without public labels.
PC-001|Grade 7 science; fictional observation: learner supported a discussion claim with two details from the supplied text today; 60-word limit.|Dear Family, Today, [LEARNER] supported a science discussion claim with two details from the class text. This is a useful step toward explaining ideas with evidence. You could invite them to tell you which detail they found most convincing. Best, [TEACHER]. Add identities only in the approved local system. This positive note does not invent a recurring pattern from one observation.
PC-002|Fictional learner has two missing practice tasks dated Sept 1 and Sept 3; teacher offered ten-minute in-class catch-up; no cause supplied.|Dear Family, Two practice tasks, dated September 1 and September 3, are not yet recorded as submitted. I have offered a ten-minute in-class catch-up opportunity. Could you let me know if there is information that would help us plan the next step? Best, [TEACHER]. Verify the submission record before sending. Do not infer refusal, home support or motivation.
PC-003|Fictional 15-minute conference; strength: clear diagrams; concern: explanations omit evidence; family perspective not yet known.|Agenda: welcome and purpose 2 minutes; review one diagram and explanation 4; listen to family and learner perspective 4; discuss one support 3; confirm next step 2. Proposed support: use an evidence-linking sentence frame in class. Agreement, owner and review date remain blank until discussed. Do not present a proposed plan as already accepted by the family.
PC-004|Fictional class newsletter; this week fractions; next week comparing fractions; return library books Friday; no individual results.|This week: We used equal-sized models to explore fractions. Next week: We will compare fractions and explain our choices. Action: Please return class library books on Friday. Optional conversation: Ask your learner why the size of the whole matters. Confirm the actual calendar date before sending. No learner names, scores or identifiable stories belong in the class-wide version.
PC-005|Fictional comparable writing tasks: earlier explanation named one source detail without linking it; later explanation linked two details to a claim.|Dear Family, In the later writing task, [LEARNER] explained how two source details supported the claim. In the earlier comparable task, the explanation listed a detail without explaining the connection. The next classroom step is to evaluate which evidence is strongest. This describes a specific change in these tasks, not a claim about every piece of writing.
PC-006|Fictional observation: learner explained the agreed materials-return routine to a partner, helping the pair begin the next task; one event only.|Dear Family, Today, [LEARNER] explained our materials-return routine to a partner, and the pair was then able to begin the next task. I wanted to recognize that helpful action. Best, [TEACHER]. The note names an observed contribution without labelling the learner a natural leader, always helpful or better than classmates.
RC-001|Fictional mathematics comment-bank request; two templates; evidence and learner details intentionally absent.|Template A: [LEARNER] demonstrates [SPECIFIC_SKILL], as shown by [VERIFIED_EVIDENCE]. A next step is [ACTION]. Template B: In [TASK_WINDOW], [LEARNER] showed [OBSERVED_PROGRESS]. Continued practice with [TARGET] will be supported through [PLANNED_STRATEGY]. These are selection frames, not ready-to-send comments. Keep evidence slots unresolved until supported; do not insert generic praise to make a template sound complete.
RC-002|Fictional evidence: eight of ten one/two-step equation items correct; work shows inverse operations; two errors involve negative numbers; 65 words.|[LEARNER] solved eight of ten one- and two-step equation items correctly and showed inverse operations in the working. A next step is to check calculations involving negative numbers by substituting the answer into the original equation. Evidence trace: accuracy count and inverse-operation statement both come from the supplied record. No claim about effort or future improvement is added.
RC-003|Fictional draft: Lazy and bad at fractions. Verified evidence: two of five unlike-fraction comparisons correct; diagrams not supplied.|Revised: [LEARNER] correctly compared two of five unlike-fraction pairs in this task. The next step is to use equal-whole models to explain comparisons before checking with a common denominator. Removed: lazy and bad at fractions because they judge character and broad ability. The suggested instructional support is a proposal, not evidence that it has already worked.
RC-004|Fictional local categories secure, developing, beginning, insufficient evidence; target: support a claim with relevant details.|Secure: [LEARNER] supports [CLAIM] with [VERIFIED_RELEVANT_DETAILS] and explains the links. Developing: [EVIDENCE] shows relevant details with an incomplete connection. Beginning: [EVIDENCE] shows recognition of a claim; selecting relevant support is the next step. Insufficient evidence: Current records do not yet support a judgment on [TARGET]. Fill only the matching frame; do not imply these categories are universal grading policy.
RC-005|Fictional modular bank; target: explain mathematical reasoning; factual evidence not yet supplied.|Strength part: [LEARNER] explains [SPECIFIC_REASONING_MOVE]. Evidence part: This is shown in [TASK_AND_OBSERVATION]. Next-step part: A useful next step is [ACTION_MATCHED_TO_ERROR]. Compatibility rule: an evidence phrase about accurate calculation cannot alone support a claim about clear explanation. Reject a combination that contradicts the record; varied wording is less important than accurate meaning.
RC-006|Fictional bank contains gifted at everything, weak student and born artist; no achievement evidence supplied.|Replace each label with an evidence-required frame: demonstrates [SPECIFIC_SKILL] in [TASK]; is developing [TARGET] based on [OBSERVATION]; used [OBSERVED_TECHNIQUE] in [ART_PROCESS]. Do not automatically convert an unsupported negative into an unsupported positive. Until evidence is supplied these remain templates, not actual report comments.
CM-001|Grade 4 routine; move from carpet to tables with pencils; teacher-proposed 90-second target; visual and spoken cue available.|Model: when the cue appears, stand safely, collect the assigned pencil, walk to your table and begin the drawn starter. Rehearse once without timing, then observe a second attempt. Give descriptive feedback about safe movement and readiness. Adjust the 90-second target if access or room conditions require it. Do not penalize a learner for needing an accessible route.
CM-002|Fictional low-stakes disagreement over shared materials; no safety concern reported; both learners may decline; teacher follows local procedure.|Opening: We can talk about what happened and what might help next time. You may ask for a pause. Questions: What did you observe? What was the impact? What would a fair next step look like? Record proposed actions separately from agreed actions. Do not require an apology, infer guilt or use this process for an unresolved safeguarding concern.
CM-003|Grade 5 entry; board starter available; pencils near entrance; three-minute proposed routine.|Greet learners, point to the visual starter and direct them to collect a pencil if needed. First task: write one thing remembered from yesterday's lesson. Late-entry route: collect materials quietly and begin without a public explanation. Teacher checks whether the routine gives all learners access; it is not a timed compliance contest.
CM-004|Grade 4 whole-group to independent work; visual card and spoken cue; task sheet already on desks.|Script: Look at the task card. Take your pencil, move safely to your place and start question one. If you are unsure, mark a question sign and I will check in. Rehearse the movement and materials steps separately if needed. Success evidence: learners know the first action and can begin with appropriate support, not absolute silence alone.
CM-005|Grade 3 classroom; four table groups; shared rulers; supply return routine.|Place a labelled ruler tray at each table. One rotating materials helper checks quantity before and after work; every learner returns their own ruler to the tray. Missing-supply route: use the teacher's spare tray without public blame. Observe waiting time and revise tray placement if it blocks movement. Keep personal responsibility distinct from a punitive class reward system.
AD-001|Fictional notes: team agreed common exit item next week; teacher-role A volunteered to draft; exact date not agreed.|Decision: use one common exit item next week. Action: draft the item. Owner: teacher-role A. Due: [NEEDS TEACHER INPUT]. Open question: when will the team review the draft? Do not convert next week into an invented calendar date. Record only the agreement actually present in these notes.
AD-002|Fictional baseline: explicit checks for understanding in one of three observed lessons; six-week planning period.|Proposed goal: include one planned check for understanding in each of the next six weekly observed lessons and record the resulting instructional decision. Implementation evidence: lesson plan and observation note. Outcome evidence: response patterns on aligned checks, interpreted cautiously. Review after week three. This is a proposed professional goal, not a promise that a student score will improve by a set percentage.
AD-003|Fictional staff message; ask colleagues to review one attached exit item; confirmed deadline Thursday noon; no names supplied.|Subject: Review requested: common exit item. Hello colleagues, Please review the attached exit item for alignment and ambiguity by Thursday at noon. Add any suggested correction beside the relevant question. Thank you, [TEACHER]. Verify the actual date, timezone, recipient list and attachment locally before sending; the draft cannot confirm those operational details.
AD-004|Fictional rough notes: station cards drafted; keys not checked; room layout pending; colleague needs status.|The station cards are drafted. The answer keys still need checking, and the room layout has not yet been confirmed. My next step is to verify the keys before finalizing the rotation plan. Please flag any known room constraints. This update separates completed work from pending work rather than calling the whole activity ready.
SD-001|Grade 5 fractions; compare 3/4 and 5/6; equal wholes and number lines; prior knowledge of unit fractions.|Both are one unit fraction short of one. Since 1/4 is larger than 1/6, subtracting 1/6 leaves more: 5/6>3/4. Confirm with twelfths: 10/12>9/12. Draw equal 0-1 number lines; different whole sizes would invalidate a direct amount comparison. Transfer: order 2/3, 7/8, 11/12. Answer: 2/3<7/8<11/12 because their missing unit fractions decrease.
SD-002|Grade 6 dissolving investigation; 40 minutes; approved cool/lukewarm water, sugar, cups, spoons, timer; same volume and stirring pattern; no tasting.|Change water temperature and measure time until visible sugar disappears. Keep sugar amount, water volume, cup type and stirring pattern constant. Repeat conditions if time allows. Record actual seconds in a blank table; no data are supplied here. Predicted pattern: warmer water may dissolve sugar faster under these conditions. Limits: judging disappearance and inconsistent stirring. Teacher verifies safe handling and cleanup before use.
SD-003|Grade 4 place value; base-ten drawing and symbols; explain 23x3.|Concrete model: three groups of two tens and three ones. Visual model: six tens and nine ones. Symbolic model: 3x(20+3)=60+9=69. Connect each group in the drawing to one addend rather than treating the picture as decoration. Transfer: 14x2=28. The model assumes positive whole-number groups; it does not by itself explain multiplication by a negative number.
SD-004|Grade 8 mathematics; deliberate fictional error 2(x+3)=14 becomes 2x+3=14, then x=5.5.|First invalid step: distributing 2 to x but not to 3. Correct: 2x+6=14; 2x=8; x=4. Check: 2(4+3)=14. Ask learners why 5.5 fails substitution: 2(5.5+3)=17. Fresh item: 3(y+2)=18 gives y=4. Label the initial work deliberately incorrect; do not present it as an actual learner record.
